,file,model_name,class,BBOX_x1,BBOX_y1,BBOX_x2,BBOX_y2,BBOX_h,BBOX_w,year,make,model,type
0,00001.jpg,Audi TTS Coupe 2012,14,39,116,569,375,260,531,2012,Audi,TTS,Coupe
1,00002.jpg,Acura TL Sedan 2012,3,36,116,868,587,472,833,2012,Acura,TL,Sedan
2,00003.jpg,Dodge Dakota Club Cab 2007,91,85,109,601,381,273,517,2007,Dodge,Dakota,Cab
3,00004.jpg,Hyundai Sonata Hybrid Sedan 2012,134,621,393,1484,1096,704,864,2012,Hyundai,Sonata,Sedan
4,00005.jpg,Ford F-450 Super Duty Crew Cab 2012,106,14,36,133,99,64,120,2012,Ford,F-450,Cab
5,00006.jpg,Geo Metro Convertible 1993,123,259,289,515,416,128,257,1993,Geo,Metro,Convertible
6,00007.jpg,Dodge Journey SUV 2012,89,88,80,541,397,318,454,2012,Dodge,Journey,SUV
7,00008.jpg,Dodge Charger Sedan 2012,96,73,79,591,410,332,519,2012,Dodge,Charger,Sedan
8,00009.jpg,Mitsubishi Lancer Sedan 2012,167,20,126,1269,771,646,1250,2012,Mitsubishi,Lancer,Sedan
9,00010.jpg,Chevrolet Traverse SUV 2012,58,21,110,623,367,258,603,2012,Chevrolet,Traverse,SUV
10,00011.jpg,Buick Verano Sedan 2012,49,51,93,601,393,301,551,2012,Buick,Verano,Sedan
11,00012.jpg,Toyota Sequoia SUV 2012,186,6,62,499,286,225,494,2012,Toyota,Sequoia,SUV
12,00013.jpg,Hyundai Elantra Sedan 2007,135,30,36,418,307,272,389,2007,Hyundai,Elantra,Sedan
13,00014.jpg,Dodge Caravan Minivan 1997,85,31,246,778,540,295,748,1997,Dodge,Caravan,Minivan
14,00015.jpg,Volvo C30 Hatchback 2012,193,32,77,589,379,303,558,2012,Volvo,C30,Hatchback
15,00016.jpg,Plymouth Neon Coupe 1999,172,27,49,611,396,348,585,1999,Plymouth,Neon,Coupe
16,00017.jpg,Audi TTS Coupe 2012,14,39,52,233,150,99,195,2012,Audi,TTS,Coupe
17,00018.jpg,Chevrolet Malibu Sedan 2007,73,3,8,190,147,140,188,2007,Chevrolet,Malibu,Sedan
18,00019.jpg,Volkswagen Beetle Hatchback 2012,192,247,287,1366,761,475,1120,2012,Volkswagen,Beetle,Hatchback
19,00020.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007,57,17,281,961,596,316,945,2007,Chevrolet,Corvette,Z06
20,00021.jpg,Chrysler 300 SRT-8 2010,79,17,156,695,375,220,679,2010,Chrysler,300,SRT-8
21,00022.jpg,BMW M6 Convertible 2010,36,212,538,1893,1131,594,1682,2010,BMW,M6,Convertible
22,00023.jpg,GMC Yukon Hybrid SUV 2012,120,11,28,476,234,207,466,2012,GMC,Yukon,SUV
23,00024.jpg,Nissan Juke Hatchback 2012,170,53,126,973,621,496,921,2012,Nissan,Juke,Hatchback
24,00025.jpg,Volvo 240 Sedan 1993,194,34,87,567,343,257,534,1993,Volvo,240,Sedan
25,00026.jpg,Hyundai Sonata Hybrid Sedan 2012,134,30,174,598,379,206,569,2012,Hyundai,Sonata,Sedan
26,00027.jpg,Suzuki SX4 Sedan 2012,184,80,107,606,336,230,527,2012,Suzuki,SX4,Sedan
27,00028.jpg,Dodge Ram Pickup 3500 Crew Cab 2010,86,45,115,585,382,268,541,2010,Dodge,Ram,Cab
28,00029.jpg,Spyker C8 Coupe 2009,180,28,139,1564,1126,988,1537,2009,Spyker,C8,Coupe
29,00030.jpg,Volvo 240 Sedan 1993,194,82,109,874,521,413,793,1993,Volvo,240,Sedan
30,00031.jpg,Land Rover Range Rover SUV 2012,154,55,318,446,564,247,392,2012,Land,Rover,SUV
31,00032.jpg,Hyundai Elantra Touring Hatchback 2012,139,12,31,471,350,320,460,2012,Hyundai,Elantra,Hatchback
32,00033.jpg,Chevrolet Cobalt SS 2010,66,34,197,1011,656,460,978,2010,Chevrolet,Cobalt,SS
33,00034.jpg,Hyundai Veracruz SUV 2012,133,37,63,614,397,335,578,2012,Hyundai,Veracruz,SUV
34,00035.jpg,Land Rover Range Rover SUV 2012,154,223,87,1111,670,584,889,2012,Land,Rover,SUV
35,00036.jpg,Ferrari 458 Italia Coupe 2012,104,138,41,521,223,183,384,2012,Ferrari,458,Coupe
36,00037.jpg,BMW Z4 Convertible 2012,38,31,87,616,344,258,586,2012,BMW,Z4,Convertible
37,00038.jpg,Dodge Charger SRT-8 2009,97,16,89,459,326,238,444,2009,Dodge,Charger,SRT-8
38,00039.jpg,Fisker Karma Sedan 2012,105,53,113,614,350,238,562,2012,Fisker,Karma,Sedan
39,00040.jpg,Infiniti QX56 SUV 2011,142,214,110,660,403,294,447,2011,Infiniti,QX56,SUV
40,00041.jpg,Audi A5 Coupe 2012,13,61,55,566,408,354,506,2012,Audi,A5,Coupe
